Loan_ID,Borrower_ID,Group_ID,Facility_ID,Portfolio_ID,Borrower_Name,Sector,Geography,Customer_Type,Credit_Rating_Internal,Credit_Rating_External,Low_Credit_Risk_Flag,Loan_Amount_Original,Loan_Amount_Outstanding,Currency,Product_Type,Drawdown_Date,Maturity_Date,Remaining_Term,Interest_Rate_Type,Interest_Rate,Effective_Interest_Rate,Repayment_Type,Repayment_Schedule,PD_12m,PD_Lifetime,LGD,EAD,SICR_Flag,Stage,Default_Flag,Days_Past_Due,Forbearance_Flag,Collateral_Value,Collateral_Type,Guarantee_Amount,Recovery_Strategy,Impairment_Allowance,Impairment_Model_Version,Date_Stage_Changed,ECL_Amount_12m,ECL_Amount_Lifetime,ECL_Scenario_Weights
LN00001,BR00001,GRP006,FAC0028,PORT4,Borrower_1,Energy,Brazil,Retail,C1,AA,0,44510.54,28376.12,ZAR,Term Loan,3/4/22,10/18/23,-644,Variable,0.0565,0.0791,Revolving,Semi-Annually,0.1194,0.2799,0.57,28376.12,1,2,0,120,0,3649.29,Real Estate,8377.94,Legal Action,4527.21,v3.0,5/10/23,1931.22,4527.21,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00002,BR00002,GRP030,FAC0069,PORT2,Borrower_2,Construction,USA,Corporate,B1,CCC,0,172369.91,168682.32,GBP,Term Loan,10/25/18,5/16/21,-1529,Fixed,0.1145,0.061,Bullet,Quarterly,0.1749,0.2388,0.38,168682.32,1,2,0,0,0,23464.62,Guarantee,22310,Restructure,15306.91,v1.0,3/30/21,11210.96,15306.91,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00003,BR00003,GRP041,FAC0022,PORT9,Borrower_3,Healthcare,UK,Retail,B2,BBB,1,292414.13,239148.62,ZAR,Term Loan,2/18/16,4/6/19,-2300,Fixed,0.1122,0.0932,Bullet,Quarterly,0.1888,0.2943,0.54,239148.62,1,2,0,10,0,39283.09,Real Estate,81734.74,Sell Collateral,38005.98,v2.0,8/19/17,24381.68,38005.98,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00004,BR00004,GRP036,FAC0069,PORT5,Borrower_4,Healthcare,Brazil,SME,C1,BBB,0,914873.4,716885.67,EUR,Term Loan,9/29/15,12/4/17,-2788,Variable,0.0409,0.0713,Bullet,Monthly,0.3618,0.4437,0.66,716885.67,1,3,1,60,0,230811.92,Cash,94944.4,Legal Action,209934.23,v3.0,12/4/16,171183.7,209934.23,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00005,BR00005,GRP018,FAC0099,PORT6,Borrower_5,Manufacturing,Germany,SME,A2,BBB,1,397071.97,316841.28,ZAR,Term Loan,9/8/21,1/16/23,-919,Variable,0.1466,0.0949,Bullet,Monthly,0.2393,0.327,0.21,316841.28,1,3,1,90,0,184805.06,Guarantee,107996.99,Legal Action,21757.49,v1.0,3/18/22,15922.22,21757.49,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00006,BR00006,GRP016,FAC0008,PORT4,Borrower_6,Energy,USA,Retail,B2,CCC,1,548591.45,487869.64,BRL,Term Loan,7/21/23,6/15/25,-38,Fixed,0.0454,0.0627,Amortizing,Quarterly,0.2699,0.32,0.26,487869.64,1,3,1,30,0,403027.8,Guarantee,240354.19,Write-off,40590.75,v1.0,1/23/25,34235.76,40590.75,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00007,BR00007,GRP036,FAC0030,PORT10,Borrower_7,Retail,USA,Retail,A1,AA,1,217128.04,142405.19,USD,Term Loan,6/21/23,5/2/28,1014,Variable,0.0385,0.0523,Bullet,Semi-Annually,0.4976,0.6451,0.43,142405.19,1,3,1,60,0,16936.37,Inventory,4558.81,Legal Action,39502.2,v3.0,3/17/24,30470.15,39502.2,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00008,BR00008,GRP044,FAC0084,PORT2,Borrower_8,Manufacturing,India,Corporate,B1,CCC,0,584687.42,363382.43,EUR,Term Loan,2/10/23,4/24/27,640,Fixed,0.0528,0.0681,Amortizing,Quarterly,0.2418,0.3529,0.42,363382.43,1,3,1,0,1,274778.26,Inventory,84854.28,Legal Action,53859.82,v2.0,9/14/25,36903.67,53859.82,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00009,BR00009,GRP032,FAC0062,PORT4,Borrower_9,Construction,USA,Retail,B2,AAA,0,454268.13,422775.79,GBP,Term Loan,10/20/17,3/23/19,-2314,Variable,0.0642,0.1134,Revolving,Annually,0.2797,0.3373,0.68,422775.79,1,3,1,90,0,105558.66,Cash,179404,Legal Action,96969.55,v2.0,5/30/18,80410.26,96969.55,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00010,BR00010,GRP006,FAC0024,PORT2,Borrower_10,Energy,USA,Corporate,A2,BBB,1,741022.44,393096.68,BRL,Term Loan,8/28/15,11/26/19,-2066,Fixed,0.0995,0.1067,Bullet,Monthly,0.1637,0.2212,0.45,393096.68,1,2,0,60,0,379220.77,Inventory,30943.14,Sell Collateral,39128.84,v2.0,10/19/16,28957.47,39128.84,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
